county,year,crop,area_ha,production_tons
Marsabit,2022,maize,591.0,3.0
Marsabit,2023,maize,2184.0,337.0
Marsabit,2024,maize,1830.0,1089.0
Meru,2019,maize,74577.0,96249.0
Meru,2020,maize,67416.0,74757.0
Meru,2021,maize,75058.0,53331.0
Meru,2022,maize,66338.0,63157.0
Meru,2023,maize,142379.0,151039.0
Meru,2024,maize,136082.0,133150.0
Migori,2019,maize,80745.0,103965.0
Migori,2020,maize,78222.0,95966.0
Migori,2021,maize,95034.0,99598.0
Migori,2022,maize,85628.0,92441.0
Migori,2023,maize,78567.0,101474.0
Migori,2024,maize,88449.0,148919.0
Mombasa,2019,maize,481.0,259.0
Mombasa,2020,maize,606.0,803.0
Mombasa,2021,maize,649.0,0.0
Mombasa,2022,maize,842.0,272.0
Mombasa,2023,maize,876.0,878.0
Mombasa,2024,maize,867.0,770.0
Murang'a,2019,maize,68329.0,74087.0
Murang'a,2020,maize,66381.0,63653.0
Murang'a,2021,maize,62983.0,49256.0
Murang'a,2022,maize,67530.0,47434.0
Murang'a,2023,maize,68399.0,56827.0
Murang'a,2024,maize,54189.0,55488.0
Nairobi,2019,maize,725.0,1087.0
Nairobi,2020,maize,684.0,972.0
Nairobi,2021,maize,754.0,571.0
Nairobi,2022,maize,661.0,246.0
Nairobi,2023,maize,758.0,676.0
Nairobi,2024,maize,713.0,641.0
Nakuru,2019,maize,76706.0,214784.0
Nakuru,2020,maize,64963.0,206151.0
Nakuru,2021,maize,87651.0,242825.0
Nakuru,2022,maize,66315.0,213786.0
Nakuru,2023,maize,71470.0,215412.0
Nakuru,2024,maize,94421.0,201876.0
Nandi,2019,maize,66627.0,184127.0
Nandi,2020,maize,59746.0,165866.0
Nandi,2021,maize,26825.0,64175.0
Nandi,2022,maize,45674.0,89447.0
Nandi,2023,maize,67429.0,159556.0
Nandi,2024,maize,57812.0,179389.0
Narok,2019,maize,111559.0,210005.0
Narok,2020,maize,116717.0,202855.0
Narok,2021,maize,121809.0,280273.0
Narok,2022,maize,127460.0,271028.0
Narok,2023,maize,132396.0,314403.0
Narok,2024,maize,122245.0,224236.0
Nyamira,2019,maize,46870.0,80693.0
Nyamira,2020,maize,42730.0,67563.0
Nyamira,2021,maize,43134.0,61937.0
Nyamira,2022,maize,48280.0,76884.0
Nyamira,2023,maize,48175.0,63424.0
Nyamira,2024,maize,48580.0,89599.0
Nyandarua,2019,maize,13800.0,27795.0
Nyandarua,2020,maize,17660.0,39170.0
Nyandarua,2021,maize,14070.0,27958.0
Nyandarua,2022,maize,20060.0,26836.0
Nyandarua,2023,maize,20716.0,46617.0
Nyandarua,2024,maize,14987.0,28698.0
Nyeri,2019,maize,28874.0,29738.0
Nyeri,2020,maize,26521.0,26251.0
Nyeri,2021,maize,27067.0,19382.0
Nyeri,2022,maize,26984.0,14323.0
Nyeri,2023,maize,31317.0,35280.0
Nyeri,2024,maize,29248.0,24832.0
Samburu,2019,maize,8580.0,1839.0
Samburu,2020,maize,10320.0,9756.0
Samburu,2021,maize,12425.0,12090.0
Samburu,2022,maize,15870.0,11178.0
Samburu,2023,maize,6448.0,15298.0
Samburu,2024,maize,11572.0,9135.0
Siaya,2019,maize,64387.0,75733.0
Siaya,2020,maize,63493.0,72351.0
Siaya,2021,maize,83933.0,53512.0
Siaya,2022,maize,73521.0,76580.0
Siaya,2023,maize,77550.0,115191.0
Siaya,2024,maize,77660.0,143979.0
Taita Taveta,2019,maize,17069.0,16698.0
Taita Taveta,2020,maize,10006.0,16643.0
Taita Taveta,2021,maize,12252.0,3360.0
Taita Taveta,2022,maize,11464.0,10893.0
Taita Taveta,2023,maize,13596.0,12393.0
Taita Taveta,2024,maize,11426.0,13176.0
Tana River,2019,maize,5311.0,4471.0
Tana River,2020,maize,5666.0,8222.0
Tana River,2021,maize,4251.0,958.0
Tana River,2022,maize,6673.0,8257.0
Tana River,2023,maize,5734.0,5879.0
Tana River,2024,maize,5063.0,14658.0
Tharaka Nithi,2019,maize,24436.0,11943.0
Tharaka Nithi,2020,maize,18591.0,41601.0
Tharaka Nithi,2021,maize,25420.0,30352.0
Tharaka Nithi,2022,maize,23640.0,20668.0
Tharaka Nithi,2023,maize,26617.0,33808.0
Tharaka Nithi,2024,maize,37588.0,55426.0
Trans Nzoia,2019,maize,106549.0,426499.0
Trans Nzoia,2020,maize,104850.0,489056.0
Trans Nzoia,2021,maize,107090.0,407913.0
Trans Nzoia,2022,maize,95140.0,339990.0
Trans Nzoia,2023,maize,125065.0,448011.0
Trans Nzoia,2024,maize,124976.0,423156.0
Turkana,2019,maize,8931.0,5689.0
Turkana,2020,maize,2475.0,2582.0
Turkana,2021,maize,1295.0,1154.0
Turkana,2022,maize,3408.0,452.0
Turkana,2023,maize,1750.0,1331.0
Turkana,2024,maize,3704.0,4217.0
Uasin Gishu,2019,maize,100081.0,324366.0
Uasin Gishu,2020,maize,106999.0,456574.0
Uasin Gishu,2021,maize,104645.0,385400.0
Uasin Gishu,2022,maize,102820.0,359870.0
Uasin Gishu,2023,maize,117923.0,476538.0
Uasin Gishu,2024,maize,107009.0,483211.0
Vihiga,2019,maize,28560.0,38208.0
Vihiga,2020,maize,25134.0,30566.0
Vihiga,2021,maize,22340.0,24191.0
Vihiga,2022,maize,26142.0,25335.0
Vihiga,2023,maize,24921.0,29659.0
Vihiga,2024,maize,24771.0,34171.0
Wajir,2019,maize,306.0,225.0
Wajir,2020,maize,98.0,39.0
Wajir,2021,maize,54.0,19.0
Wajir,2022,maize,72.0,25.0
Wajir,2023,maize,132.0,34.0
Wajir,2024,maize,278.0,216.0
West Pokot,2019,maize,36720.0,82849.0
West Pokot,2020,maize,32354.0,23400.0
West Pokot,2021,maize,34911.0,53193.0
West Pokot,2022,maize,34780.0,52650.0
West Pokot,2023,maize,49097.0,96010.0
West Pokot,2024,maize,56403.0,96984.0
