county,year,crop,metric,value
Kiambu,2020,maize,area_ha,31528.0
Kiambu,2020,maize,production_tons,43259.0
Kiambu,2021,maize,area_ha,30371.0
Kiambu,2021,maize,production_tons,25563.0
Kiambu,2022,maize,area_ha,29174.0
Kiambu,2022,maize,production_tons,19655.0
Kiambu,2023,maize,area_ha,30537.0
Kiambu,2023,maize,production_tons,29692.0
Kiambu,2024,maize,area_ha,33534.0
Kiambu,2024,maize,production_tons,39471.0
Kilifi,2019,maize,area_ha,72499.0
Kilifi,2019,maize,production_tons,45769.0
Kilifi,2020,maize,area_ha,71782.0
Kilifi,2020,maize,production_tons,44585.0
Kilifi,2021,maize,area_ha,53943.0
Kilifi,2021,maize,production_tons,26176.0
Kilifi,2022,maize,area_ha,72748.0
Kilifi,2022,maize,production_tons,47780.0
Kilifi,2023,maize,area_ha,95674.0
Kilifi,2023,maize,production_tons,81813.0
Kilifi,2024,maize,area_ha,51393.0
Kilifi,2024,maize,production_tons,41907.0
Kirinyaga,2019,maize,area_ha,30406.0
Kirinyaga,2019,maize,production_tons,45036.0
Kirinyaga,2020,maize,area_ha,30505.0
Kirinyaga,2020,maize,production_tons,40281.0
Kirinyaga,2021,maize,area_ha,30373.0
Kirinyaga,2021,maize,production_tons,24388.0
Kirinyaga,2022,maize,area_ha,30503.0
Kirinyaga,2022,maize,production_tons,13547.0
Kirinyaga,2023,maize,area_ha,38467.0
Kirinyaga,2023,maize,production_tons,49692.0
Kirinyaga,2024,maize,area_ha,28228.0
Kirinyaga,2024,maize,production_tons,38468.0
Kisii,2019,maize,area_ha,66625.0
Kisii,2019,maize,production_tons,144480.0
Kisii,2020,maize,area_ha,67286.0
Kisii,2020,maize,production_tons,132790.0
Kisii,2021,maize,area_ha,65876.0
Kisii,2021,maize,production_tons,96249.0
Kisii,2022,maize,area_ha,43735.0
Kisii,2022,maize,production_tons,79671.0
Kisii,2023,maize,area_ha,66221.0
Kisii,2023,maize,production_tons,119244.0
Kisii,2024,maize,area_ha,65900.0
Kisii,2024,maize,production_tons,41087.0
Kisumu,2019,maize,area_ha,50228.0
Kisumu,2019,maize,production_tons,69956.0
Kisumu,2020,maize,area_ha,46307.0
Kisumu,2020,maize,production_tons,67307.0
Kisumu,2021,maize,area_ha,62600.0
Kisumu,2021,maize,production_tons,40990.0
Kisumu,2022,maize,area_ha,54125.0
Kisumu,2022,maize,production_tons,34513.0
Kisumu,2023,maize,area_ha,62195.0
Kisumu,2023,maize,production_tons,105003.0
Kisumu,2024,maize,area_ha,48400.0
Kisumu,2024,maize,production_tons,58657.0
Kitui,2019,maize,area_ha,76901.0
Kitui,2019,maize,production_tons,98046.0
Kitui,2020,maize,area_ha,87252.0
Kitui,2020,maize,production_tons,27960.0
Kitui,2021,maize,area_ha,79035.0
Kitui,2021,maize,production_tons,11508.0
Kitui,2022,maize,area_ha,62987.0
Kitui,2022,maize,production_tons,9183.0
Kitui,2023,maize,area_ha,83618.0
Kitui,2023,maize,production_tons,36292.0
Kitui,2024,maize,area_ha,89423.0
Kitui,2024,maize,production_tons,17845.0
Kwale,2019,maize,area_ha,65500.0
Kwale,2019,maize,production_tons,35485.0
Kwale,2020,maize,area_ha,56576.0
Kwale,2020,maize,production_tons,34061.0
Kwale,2021,maize,area_ha,56128.0
Kwale,2021,maize,production_tons,33815.0
Kwale,2022,maize,area_ha,23200.0
Kwale,2022,maize,production_tons,45428.0
Kwale,2023,maize,area_ha,60518.0
Kwale,2023,maize,production_tons,61037.0
Kwale,2024,maize,area_ha,58116.0
Kwale,2024,maize,production_tons,44127.0
Laikipia,2019,maize,area_ha,25260.0
Laikipia,2019,maize,production_tons,44843.0
Laikipia,2020,maize,area_ha,26470.0
Laikipia,2020,maize,production_tons,39422.0
Laikipia,2021,maize,area_ha,24932.0
Laikipia,2021,maize,production_tons,34520.0
Laikipia,2022,maize,area_ha,25055.0
Laikipia,2022,maize,production_tons,7288.0
Laikipia,2023,maize,area_ha,29596.0
Laikipia,2023,maize,production_tons,44264.0
Laikipia,2024,maize,area_ha,29240.0
Laikipia,2024,maize,production_tons,51372.0
Lamu,2019,maize,area_ha,29350.0
Lamu,2019,maize,production_tons,53232.0
Lamu,2020,maize,area_ha,37500.0
Lamu,2020,maize,production_tons,28325.0
Lamu,2021,maize,area_ha,16820.0
Lamu,2021,maize,production_tons,4772.0
Lamu,2022,maize,area_ha,39502.0
Lamu,2022,maize,production_tons,59102.0
Lamu,2023,maize,area_ha,45800.0
Lamu,2023,maize,production_tons,74318.0
Lamu,2024,maize,area_ha,23154.0
Lamu,2024,maize,production_tons,48436.0
Machakos,2019,maize,area_ha,125358.0
Machakos,2019,maize,production_tons,92034.0
Machakos,2020,maize,area_ha,133795.0
Machakos,2020,maize,production_tons,40927.0
Machakos,2021,maize,area_ha,144201.0
Machakos,2021,maize,production_tons,59321.0
Machakos,2022,maize,area_ha,134048.0
Machakos,2022,maize,production_tons,22597.0
Machakos,2023,maize,area_ha,138830.0
Machakos,2023,maize,production_tons,175493.0
Machakos,2024,maize,area_ha,158761.0
Machakos,2024,maize,production_tons,91910.0
Makueni,2019,maize,area_ha,139024.0
Makueni,2019,maize,production_tons,109434.0
Makueni,2020,maize,area_ha,146562.0
Makueni,2020,maize,production_tons,120000.0
Makueni,2021,maize,area_ha,150726.0
Makueni,2021,maize,production_tons,88013.0
Makueni,2022,maize,area_ha,132910.0
Makueni,2022,maize,production_tons,83018.0
Makueni,2023,maize,area_ha,136912.0
Makueni,2023,maize,production_tons,81363.0
Makueni,2024,maize,area_ha,155337.0
Makueni,2024,maize,production_tons,83506.0
Mandera,2019,maize,area_ha,3071.0
Mandera,2019,maize,production_tons,964.0
