county,year,crop,area_ha,production_tons
Murang'a,2020,beans,46011.0,17417.0
Murang'a,2021,beans,44757.0,21268.0
Murang'a,2022,beans,96203.0,19967.0
Murang'a,2023,beans,46051.0,18186.0
Murang'a,2024,beans,33643.0,16382.0
Nairobi,2019,beans,508.0,281.0
Nairobi,2020,beans,518.0,331.0
Nairobi,2021,beans,549.0,288.0
Nairobi,2022,beans,533.0,232.0
Nairobi,2023,beans,588.0,227.0
Nairobi,2024,beans,605.0,287.0
Nakuru,2019,beans,45977.0,36575.0
Nakuru,2020,beans,39555.0,38884.0
Nakuru,2021,beans,61027.0,42274.0
Nakuru,2022,beans,76260.0,94741.0
Nakuru,2023,beans,50835.0,99926.0
Nakuru,2024,beans,61416.0,55497.0
Nandi,2019,beans,32088.0,23179.0
Nandi,2020,beans,25116.0,18295.0
Nandi,2021,beans,19998.0,16327.0
Nandi,2022,beans,32840.0,27519.0
Nandi,2023,beans,30277.0,21830.0
Nandi,2024,beans,23921.0,27541.0
Narok,2019,beans,48121.0,34728.0
Narok,2020,beans,44951.0,28789.0
Narok,2021,beans,49599.0,44947.0
Narok,2022,beans,52813.0,39352.0
Narok,2023,beans,48245.0,44773.0
Narok,2024,beans,41586.0,20699.0
Nyamira,2019,beans,33090.0,23150.0
Nyamira,2020,beans,31830.0,26574.0
Nyamira,2021,beans,31435.0,19219.0
Nyamira,2022,beans,31182.0,30168.0
Nyamira,2023,beans,30021.0,10684.0
Nyamira,2024,beans,27157.0,16391.0
Nyandarua,2019,beans,6505.0,4174.0
Nyandarua,2020,beans,8822.0,7188.0
Nyandarua,2021,beans,7000.0,6035.0
Nyandarua,2022,beans,1655.0,1337.0
Nyandarua,2023,beans,5542.0,3183.0
Nyandarua,2024,beans,6951.0,6138.0
Nyeri,2019,beans,21675.0,8950.0
Nyeri,2020,beans,20525.0,11214.0
Nyeri,2021,beans,18773.0,7889.0
Nyeri,2022,beans,16994.0,5378.0
Nyeri,2023,beans,18340.0,6464.0
Nyeri,2024,beans,19883.0,10148.0
Samburu,2019,beans,4817.0,724.0
Samburu,2020,beans,4854.0,842.0
Samburu,2021,beans,3244.0,3636.0
Samburu,2022,beans,5380.0,1735.0
Samburu,2023,beans,4897.0,4615.0
Samburu,2024,beans,5287.0,2619.0
Siaya,2019,beans,33194.0,17197.0
Siaya,2020,beans,31942.0,17286.0
Siaya,2021,beans,39931.0,18900.0
Siaya,2022,beans,35005.0,16747.0
Siaya,2023,beans,36840.0,14100.0
Siaya,2024,beans,37498.0,23852.0
Taita Taveta,2019,beans,2600.0,1383.0
Taita Taveta,2020,beans,2687.0,2224.0
Taita Taveta,2021,beans,3481.0,3542.0
Taita Taveta,2022,beans,2942.0,3036.0
Taita Taveta,2023,beans,3837.0,3332.0
Taita Taveta,2024,beans,4436.0,4119.0
Tana River,2019,beans,52.0,45.0
Tana River,2020,beans,3.0,3.0
Tana River,2021,beans,3.0,3.0
Tana River,2022,beans,3.0,2.0
Tana River,2023,beans,4.0,2.0
Tana River,2024,beans,31.0,7.0
Tharaka Nithi,2020,beans,13684.0,16621.0
Tharaka Nithi,2021,beans,8905.0,7047.0
Tharaka Nithi,2022,beans,18675.0,5563.0
Tharaka Nithi,2023,beans,17232.0,13895.0
Tharaka Nithi,2024,beans,17489.0,18882.0
Trans Nzoia,2019,beans,62428.0,25202.0
Trans Nzoia,2020,beans,54893.0,25061.0
Trans Nzoia,2021,beans,52418.0,18924.0
Trans Nzoia,2022,beans,57650.0,51734.0
Trans Nzoia,2023,beans,61462.0,47842.0
Trans Nzoia,2024,beans,54671.0,46875.0
Uasin Gishu,2019,beans,14668.0,8127.0
Uasin Gishu,2020,beans,18389.0,15023.0
Uasin Gishu,2021,beans,19389.0,14127.0
Uasin Gishu,2022,beans,17045.0,12600.0
Uasin Gishu,2023,beans,22430.0,23560.0
Uasin Gishu,2024,beans,21713.0,14680.0
Vihiga,2019,beans,23680.0,17605.0
Vihiga,2020,beans,20260.0,16657.0
Vihiga,2021,beans,19378.0,12457.0
Vihiga,2022,beans,19378.0,18308.0
Vihiga,2023,beans,18918.0,6172.0
Vihiga,2024,beans,18853.0,12915.0
Wajir,2020,beans,3.0,2.0
Wajir,2021,beans,3.0,1.0
Wajir,2022,beans,3.0,0.0
Wajir,2023,beans,46.0,60.0
Wajir,2024,beans,44.0,41.0
West Pokot,2019,beans,15696.0,10992.0
West Pokot,2020,beans,17261.0,7644.0
West Pokot,2021,beans,15900.0,5333.0
West Pokot,2022,beans,14843.0,4295.0
West Pokot,2023,beans,25166.0,19962.0
West Pokot,2024,beans,28943.0,16528.0
