year,rainfall_mm,avg_temp_c,county
2024,1045.17,26.201120218579238,Narok
2019,2668.85,20.31772602739726,Nyamira
2020,3088.7599999999998,19.567049180327867,Nyamira
2021,2000.8,19.95194520547945,Nyamira
2022,1880.69,19.823616438356165,Nyamira
2023,3064.59,20.238246575342465,Nyamira
2024,2975.64,20.182377049180328,Nyamira
2019,1639.18,18.47649315068493,Nyandarua
2020,2087.33,17.316748633879783,Nyandarua
2021,1298.53,17.791287671232876,Nyandarua
2022,1289.7,18.10345205479452,Nyandarua
2023,1690.31,18.36328767123288,Nyandarua
2024,2162.33,17.860710382513663,Nyandarua
2019,1318.96,18.155123287671234,Nyeri
2020,1528.69,17.095437158469945,Nyeri
2021,1112.43,17.46712328767123,Nyeri
2022,1631.46,16.771753424657533,Nyeri
2023,1765.62,17.371780821917806,Nyeri
2024,1944.99,17.39912568306011,Nyeri
2019,485.9,21.468931506849316,Samburu
2020,809.23,20.712185792349725,Samburu
2021,360.9,21.008027397260275,Samburu
2022,500.33,20.74504109589041,Samburu
2023,475.1,21.164849315068494,Samburu
2024,709.75,21.129371584699456,Samburu
2019,2530.73,23.00282191780822,Siaya
2020,2763.37,22.52622950819672,Siaya
2021,1754.51,22.961835616438357,Siaya
2022,1875.08,22.872301369863013,Siaya
2023,2826.91,23.3373698630137,Siaya
2024,2308.67,23.281256830601095,Siaya
2019,738.74,19.523671232876712,Taita Taveta
2020,1017.42,18.562131147540985,Taita Taveta
2021,601.18,19.021095890410958,Taita Taveta
2022,477.37,19.06986301369863,Taita Taveta
2023,809.61,19.244164383561642,Taita Taveta
2024,878.58,19.287322404371583,Taita Taveta
2019,617.37,27.982109589041094,Tana River
2020,490.46,27.56071038251366,Tana River
2021,381.12,27.819041095890412,Tana River
2022,370.79,27.790027397260275,Tana River
2023,897.74,27.335972602739723,Tana River
2024,490.35,28.228633879781423,Tana River
2019,1318.96,18.155123287671234,Tharaka Nithi
2020,1528.69,17.095437158469945,Tharaka Nithi
2021,1112.43,17.46712328767123,Tharaka Nithi
2022,1631.46,16.771753424657533,Tharaka Nithi
2023,1765.62,17.371780821917806,Tharaka Nithi
2024,1944.99,17.39912568306011,Tharaka Nithi
2019,2316.38,17.52449315068493,Trans Nzoia
2020,3451.58,16.69431693989071,Trans Nzoia
2021,1630.65,17.02345205479452,Trans Nzoia
2022,1917.3799999999999,17.134849315068493,Trans Nzoia
2023,2274.35,17.420027397260274,Trans Nzoia
2024,2917.31,17.27901639344262,Trans Nzoia
2019,2316.38,17.52449315068493,Trans-Nzoia/Bungoma
2020,3451.58,16.69431693989071,Trans-Nzoia/Bungoma
2021,1630.65,17.02345205479452,Trans-Nzoia/Bungoma
2022,1917.3799999999999,17.134849315068493,Trans-Nzoia/Bungoma
2023,2274.35,17.420027397260274,Trans-Nzoia/Bungoma
2024,2917.31,17.27901639344262,Trans-Nzoia/Bungoma
2019,715.34,26.652849315068497,Turkana
2020,1817.93,25.56456284153005,Turkana
2021,536.72,26.178383561643837,Turkana
2022,341.15,26.700986301369866,Turkana
2023,548.72,26.602986301369864,Turkana
2024,975.76,26.290273224043716,Turkana
2019,2667.79,19.253643835616437,Uasin Gishu
2020,3457.72,18.41655737704918,Uasin Gishu
2021,1792.03,18.7153698630137,Uasin Gishu
2022,2004.64,18.875479452054794,Uasin Gishu
2023,2518.62,19.151534246575345,Uasin Gishu
2024,2945.95,19.014098360655737,Uasin Gishu
2019,2950.71,20.627972602739725,Vihiga
2020,3399.84,19.99292349726776,Vihiga
2021,2044.98,20.310438356164386,Vihiga
2022,2193.93,20.244876712328768,Vihiga
2023,3175.23,20.590520547945207,Vihiga
2024,3042.9900000000002,20.590081967213116,Vihiga
2019,692.97,28.305561643835617,Wajir
2020,650.75,28.09095628415301,Wajir
2021,1350.22,28.234219178082192,Wajir
2022,845.35,27.38986301369863,Wajir
2023,1295.42,27.531616438356167,Wajir
2024,471.03000000000003,28.91650273224044,Wajir
2019,1415.1,21.24227397260274,West Pokot
2020,2200.47,20.05792349726776,West Pokot
2021,970.45,21.17958904109589,West Pokot
2022,1161.9,21.10391780821918,West Pokot
2023,1405.77,21.262931506849316,West Pokot
2024,1838.25,20.995382513661202,West Pokot
