county,year,maize_area_ha,maize_production_tons,beans_area_ha,beans_production_tons,sorghum_area_ha,sorghum_production_tons,green_grams_area_ha,green_grams_production_tons,irish_potatoes_area_ha,irish_potatoes_production_tons,tea_made_tea_kg,tea_green_leaf_tea_kg,coffee_total_area_ha,maize_yield_t_per_ha,beans_yield_t_per_ha,sorghum_yield_t_per_ha,green_grams_yield_t_per_ha,irish_potatoes_yield_t_per_ha,rainfall_mm,avg_temp_c,soil_ph
Busia,2022,42476.0,64360.0,21528.0,16583.0,5044.0,5079.0,219.0,107.0,0.0,0.0,,,204.0,1.51520858837932,0.7702991452991453,1.0069389373513085,0.4885844748858447,,1603.98,22.233780821917808,5.4
Busia,2023,44097.0,71237.0,23069.0,18090.0,5392.0,7710.0,225.0,104.0,0.0,0.0,,,212.0,1.6154613692541442,0.7841692314361264,1.4298961424332344,0.4622222222222222,,2247.55,22.401999999999997,5.4
Busia,2024,44204.0,77934.0,21160.0,17847.0,5891.0,8001.0,234.0,116.0,0.0,0.0,,,103.0,1.7630531173649444,0.8434310018903591,1.3581734849770837,0.49572649572649574,,2042.27,22.200573770491804,5.4
Elgeyo Marakwet,2019,31779.0,104487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.287925988860568,,,,,1700.04,19.715150684931505,5.9
Elgeyo Marakwet,2020,25856.0,87431.0,19858.0,8856.0,325.0,393.0,743.0,320.0,32005.0,374379.0,1258509.0,5348663.0,,3.381458849009901,0.4459663611642663,1.2092307692307693,0.4306864064602961,11.69751601312295,2371.42,18.528032786885248,5.9
Elgeyo Marakwet,2021,31351.0,86007.0,19872.0,7657.0,740.0,915.0,644.0,254.0,31370.0,425964.0,2532537.0,10763282.0,,2.7433574686612867,0.38531602254428343,1.2364864864864864,0.3944099378881988,13.5787057698438,1503.76,18.920136986301372,5.9
Elgeyo Marakwet,2022,31713.0,72330.0,19540.0,6356.0,735.0,936.0,581.0,196.0,28670.0,276700.0,2352684.0,9998907.0,,2.2807681392488885,0.3252814738996929,1.273469387755102,0.3373493975903614,9.651203348447854,1518.89,19.219205479452054,5.9
Elgeyo Marakwet,2023,43133.0,150221.0,25610.0,28578.0,1072.0,1996.0,703.0,413.0,25143.0,259252.0,2062108.0,8763959.0,,3.4827394338441566,1.1158922295978133,1.8619402985074627,0.5874822190611664,10.311100505110767,2012.75,19.322027397260275,5.9
Elgeyo Marakwet,2024,42182.0,117786.0,25862.0,15821.0,1150.0,2607.0,258.0,237.0,23967.0,279273.0,953060.0,4050505.0,,2.7923284813427527,0.6117469646585724,2.2669565217391305,0.9186046511627907,11.652397045938166,2069.99,19.07953551912568,5.9
Embu,2019,34100.0,28368.0,22758.0,13402.0,7043.0,8375.0,12008.0,5622.0,236.0,2270.0,11957213.0,,,0.8319061583577713,0.5888918182617102,1.1891239528609967,0.46818787475016654,9.61864406779661,1318.96,18.155123287671234,6.0
Embu,2020,35130.0,34650.0,20376.0,14143.0,6425.0,3358.0,12248.0,7552.0,268.0,1995.0,14764654.0,62749779.0,,0.986336464560205,0.6941009030231645,0.5226459143968871,0.6165904637491836,7.4440298507462686,1528.69,17.095437158469945,6.0
Embu,2021,35925.0,31378.0,21360.0,13841.0,5138.0,1389.0,11537.0,4634.0,274.0,2057.0,12459102.0,52951182.0,,0.8734307585247042,0.6479868913857678,0.27033865317244066,0.40166421080003467,7.507299270072993,1112.43,17.46712328767123,6.0
Embu,2022,34506.0,10077.0,21280.0,18151.0,3741.0,1629.0,11667.0,4710.0,281.0,2592.0,12574749.0,53442682.0,6881.9,0.2920361676230221,0.8529605263157894,0.43544506816359263,0.4037027513499614,9.224199288256228,1631.46,16.771753424657533,6.0
Embu,2023,34500.0,41327.0,21380.0,10308.0,3857.0,6491.0,12042.0,6025.0,295.0,2101.0,13150541.0,55889799.0,6888.0,1.1978840579710144,0.48213283442469596,1.682914182006741,0.5003321707357582,7.122033898305085,1765.62,17.371780821917806,6.0
Embu,2024,34750.0,25659.0,21400.0,6470.0,2854.0,1127.0,12707.0,5071.0,302.0,2595.0,13751303.7,58443040.8,7078.0,0.7383884892086331,0.30233644859813086,0.3948843728100911,0.3990713779806406,8.592715231788079,1944.99,17.39912568306011,6.0
Garissa,2019,150.0,109.0,0.0,0.0,49.0,34.0,82.0,61.0,0.0,0.0,,,,0.7266666666666667,,0.6938775510204082,0.7439024390243902,,960.3,28.20397260273973,7.5
Garissa,2020,238.0,296.0,0.0,0.0,81.0,196.0,18.0,27.0,0.0,0.0,,,,1.2436974789915967,,2.419753086419753,1.5,,745.71,27.859043715846994,7.5
Garissa,2021,145.0,71.0,0.0,0.0,69.0,71.0,28.0,37.0,0.0,0.0,,,,0.4896551724137931,,1.0289855072463767,1.3214285714285714,,605.56,28.14454794520548,7.5
Garissa,2022,107.0,70.0,0.0,0.0,53.0,47.0,21.0,23.0,0.0,0.0,,,,0.6542056074766355,,0.8867924528301887,1.0952380952380953,,711.96,27.911780821917805,7.5
Garissa,2023,142.0,132.0,0.0,0.0,130.0,111.0,77.0,34.0,0.0,0.0,,,,0.9295774647887324,,0.8538461538461538,0.44155844155844154,,1257.48,27.672520547945204,7.5
Garissa,2024,222.0,382.0,0.0,0.0,144.0,126.0,123.0,88.0,0.0,0.0,,,,1.7207207207207207,,0.875,0.7154471544715447,,553.59,28.629398907103827,7.5
Homa Bay,2019,72793.0,102742.0,48558.0,29696.0,26503.0,27243.0,667.0,426.0,0.0,0.0,,,,1.4114269229184124,0.6115573129041558,1.0279213673923706,0.638680659670165,,2315.97,23.889342465753426,6.6
Homa Bay,2020,72097.0,92394.0,49900.0,32850.0,25377.0,26489.0,738.0,518.0,0.0,0.0,,,,1.2815235030583796,0.6583166332665331,1.043819206367971,0.7018970189701897,,2383.98,23.191530054644808,6.6
Homa Bay,2021,79608.0,82278.0,43074.0,30431.0,20466.0,22691.0,603.0,675.0,0.0,0.0,,,,1.0335393427796202,0.7064818684124994,1.108716896315841,1.1194029850746268,,1998.62,23.735698630136987,6.6
Homa Bay,2022,72215.0,86658.0,38739.0,25436.0,32585.0,20965.0,612.0,574.0,0.0,0.0,,,429.0,1.2,0.6565992927024445,0.6433941997851772,0.9379084967320261,,1830.1,23.37994520547945,6.6
Homa Bay,2023,78795.0,115635.0,28052.0,20308.0,24740.0,28042.0,936.0,885.0,0.0,0.0,,,455.0,1.4675423567485246,0.7239412519606445,1.1334680679062248,0.9455128205128205,,3034.65,23.906712328767124,6.6
Homa Bay,2024,89172.0,146866.0,31949.0,28739.0,36052.0,48347.0,887.0,737.0,0.0,0.0,,,464.0,1.646996815143767,0.8995273717487245,1.3410351714190614,0.830890642615558,,2383.8,24.037868852459017,6.6
Isiolo,2019,530.0,749.0,314.0,79.0,37.0,7.0,115.0,44.0,0.0,0.0,,,,1.4132075471698113,0.2515923566878981,0.1891891891891892,0.3826086956521739,,820.77,23.700383561643832,7.2
Isiolo,2020,586.0,42.0,90.0,7.0,0.0,0.0,16.0,9.0,0.0,0.0,,,,0.07167235494880546,0.07777777777777778,,0.5625,,1068.22,22.784344262295082,7.2
Isiolo,2021,147.0,139.0,155.0,115.0,6.0,6.0,44.0,17.0,0.0,0.0,,,,0.9455782312925171,0.7419354838709677,1.0,0.38636363636363635,,696.48,23.19150684931507,7.2
